1,1
1,3
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,14
1,16
1,18
1,23
1,25
1,27
1,31
1,34
1,39
1,40
1,45
1,50
1,52
1,54
1,58
1,61
1,62
1,63
1,67
1,74
1,76
1,80
1,89
1,96
1,98
2,3
2,6
2,14
2,15
2,16
2,17
2,21
2,24
2,26
2,32
2,33
2,38
2,40
2,41
2,45
2,49
2,51
2,52
2,59
2,61
2,62
2,66
2,69
2,74
2,76
2,77
2,78
2,79
2,82
2,83
2,92
2,94
2,96
3,4
3,5
3,6
3,11
3,13
3,14
3,15
3,21
3,22
3,30
3,44
3,45
3,48
3,56
3,58
3,59
3,64
3,66
3,69
3,72
3,76
3,79
3,89
3,90
4,3
4,4
4,6
4,8
4,16
4,19
4,20
4,21
4,22
4,30
4,37
4,48
4,49
4,52
4,55
4,57
4,60
4,62
4,67
4,75
4,85
4,88
4,91
4,94
4,98
5,2
5,14
5,19
5,28
5,31
5,33
5,35
5,42
5,43
5,47
5,49
5,50
5,57
5,67
5,68
5,69
5,70
5,73
5,74
5,75
5,77
5,79
5,82
5,84
5,86
5,87
5,92
5,94
5,95
6,3
6,5
6,7
6,8
6,12
6,18
6,21
6,26
6,29
6,32
6,37
6,38
6,41
6,43
6,45
6,53
6,54
6,55
6,57
6,59
6,60
6,64
6,67
6,68
6,70
6,74
6,77
6,81
6,82
6,89
6,90
6,92
6,95
7,1
7,3
7,4
7,10
7,13
7,21
7,24
7,30
7,33
7,38
7,40
7,42
7,43
7,52
7,54
7,55
7,65
7,68
7,69
7,70
7,73
7,75
7,78
7,79
7,85
7,86
7,89
7,91
7,93
8,1
8,3
8,8
8,12
8,13
8,14
8,25
8,26
8,27
8,38
8,42
8,43
8,48
8,50
8,56
8,58
8,59
8,60
8,62
8,74
8,78
8,79
8,86
8,88
8,91
8,93
8,98
9,1
9,6
9,7
9,15
9,21
9,22
9,27
9,30
9,32
9,34
9,37
9,41
9,43
9,49
9,50
9,51
9,52
9,59
9,62
9,78
9,86
9,87
9,88
9,89
9,98
10,9
10,12
10,17
10,20
10,24
10,25
10,33
10,35
10,37
10,43
10,44
10,47
10,49
10,53
10,55
10,56
10,59
10,61
10,62
10,64
10,68
10,70
10,71
10,72
10,74
10,75
10,76
10,81
10,82
10,90
10,94
10,98
11,3
11,16
11,18
11,25
11,32
11,33
11,38
11,42
11,44
11,50
11,51
11,52
11,53
11,54
11,55
11,63
11,70
11,76
11,79
11,88
11,89
12,1
12,2
12,3
12,6
12,9
12,13
12,17
12,23
12,28
12,29
12,47
12,50
12,56
12,57
12,66
12,69
12,76
12,77
12,82
12,83
12,85
12,88
12,90
12,93
12,95
12,96
12,97
13,4
13,13
13,14
13,17
13,27
13,28
13,31
13,33
13,38
13,41
13,44
13,46
13,47
13,53
13,55
13,56
13,57
13,67
13,77
13,81
13,83
13,87
13,92
13,94
14,1
14,3
14,7
14,12
14,16
14,17
14,24
14,25
14,27
14,37
14,38
14,39
14,43
14,45
14,46
14,51
14,53
14,57
14,62
14,64
14,66
14,74
14,78
14,80
14,81
14,82
14,89
14,90
14,92
14,95
15,1
15,3
15,4
15,7
15,13
15,15
15,18
15,22
15,24
15,26
15,27
15,32
15,36
15,37
15,39
15,40
15,43
15,45
15,48
15,53
15,58
15,59
15,62
15,64
15,65
15,66
15,71
15,72
15,76
15,78
15,84
15,86
15,89
15,91
15,93
15,95
16,4
16,7
16,10
16,11
16,28
16,30
16,31
16,34
16,37
16,41
16,42
16,43
16,44
16,46
16,48
16,51
16,55
16,56
16,57
16,59
16,60
16,61
16,62
16,63
16,66
16,67
16,73
16,79
16,81
16,86
16,89
16,91
16,96
16,98
17,2
17,3
17,5
17,12
17,13
17,14
17,15
17,16
17,19
17,20
17,24
17,28
17,30
17,31
17,34
17,43
17,45
17,47
17,48
17,54
17,58
17,60
17,61
17,67
17,69
17,74
17,76
17,77
17,78
17,91
17,94
17,95
17,98
18,2
18,6
18,8
18,10
18,20
18,22
18,23
18,27
18,33
18,34
18,37
18,43
18,46
18,47
18,49
18,50
18,51
18,52
18,53
18,55
18,56
18,62
18,68
18,72
18,82
18,89
18,92
18,96
19,7
19,8
19,9
19,15
19,17
19,23
19,30
19,34
19,36
19,40
19,45
19,48
19,52
19,58
19,66
19,70
19,73
19,78
19,87
19,92
19,96
19,97
20,4
20,10
20,14
20,20
20,26
20,29
20,30
20,32
20,33
20,35
20,37
20,38
20,39
20,47
20,53
20,55
20,57
20,62
20,66
20,67
20,68
20,69
20,72
20,77
20,78
20,82
20,89
20,90
21,4
21,5
21,12
21,16
21,18
21,20
21,23
21,30
21,31
21,35
21,36
21,42
21,43
21,46
21,50
21,56
21,58
21,61
21,62
21,64
21,66
21,68
21,69
21,70
21,72
21,76
21,77
21,80
21,81
21,88
21,92
21,95
22,3
22,4
22,11
22,13
22,14
22,15
22,18
22,29
22,36
22,37
22,38
22,40
22,49
22,51
22,52
22,56
22,59
22,61
22,71
22,72
22,73
22,74
22,75
22,76
22,80
22,82
22,84
22,86
22,87
22,94
